   0.0  0.250	 155.327  0.41766	  4.81687   4.78479
   2.0  0.250	 155.335  0.41756	  4.81690   4.78482
   4.0  0.250	 155.341  0.41748	  4.81693   4.78486
   6.0  0.250	 155.345  0.41742	  4.81696   4.78489
   8.0  0.250	 155.347  0.41739	  4.81699   4.78492
  10.0  0.250	 155.348  0.41739	  4.81702   4.78496
  12.0  0.250	 155.347  0.41741	  4.81705   4.78498
  14.0  0.250	 155.345  0.41746	  4.81709   4.78501
  16.0  0.250	 155.341  0.41753	  4.81712   4.78504
  18.0  0.250	 155.336  0.41763	  4.81715   4.78507
  20.0  0.250	 155.329  0.41775	  4.81719   4.78509
  22.0  0.250	 155.321  0.41790	  4.81722   4.78511
  24.0  0.250	 155.311  0.41807	  4.81726   4.78513
  26.0  0.250	 155.299  0.41827	  4.81729   4.78515
  28.0  0.250	 155.286  0.41849	  4.81733   4.78517
  30.0  0.250	 155.272  0.41873	  4.81736   4.78519
  32.0  0.250	 155.256  0.41900	  4.81740   4.78520
  34.0  0.250	 155.239  0.41930	  4.81744   4.78522
  36.0  0.250	 155.220  0.41961	  4.81747   4.78523
  38.0  0.250	 155.200  0.41995	  4.81751   4.78524
  40.0  0.250	 155.179  0.42032	  4.81755   4.78525
  42.0  0.250	 155.157  0.42070	  4.81758   4.78525
  44.0  0.250	 155.133  0.42111	  4.81762   4.78526
  46.0  0.250	 155.108  0.42154	  4.81766   4.78526
  48.0  0.250	 155.082  0.42198	  4.81769   4.78526
  50.0  0.250	 155.054  0.42245	  4.81773   4.78526
  52.0  0.250	 155.026  0.42294	  4.81776   4.78526
  54.0  0.250	 154.996  0.42345	  4.81780   4.78526
  56.0  0.250	 154.968  0.42398	  4.81784   4.78526
  58.0  0.250	 154.936  0.42452	  4.81787   4.78525
  60.0  0.250	 154.903  0.42508	  4.81791   4.78524
  62.0  0.250	 154.869  0.42566	  4.81794   4.78523
  64.0  0.250	 154.835  0.42626	  4.81798   4.78522
  66.0  0.250	 154.800  0.42687	  4.81801   4.78521
  68.0  0.250	 154.765  0.42749	  4.81804   4.78519
  70.0  0.250	 154.728  0.42813	  4.81808   4.78518
  72.0  0.250	 154.692  0.42879	  4.81811   4.78516
  74.0  0.250	 154.655  0.42945	  4.81814   4.78514
  76.0  0.250	 154.617  0.43013	  4.81817   4.78512
  78.0  0.250	 154.578  0.43082	  4.81820   4.78509
  80.0  0.250	 154.539  0.43152	  4.81823   4.78507
  82.0  0.250	 154.499  0.43223	  4.81826   4.78505
  84.0  0.250	 154.460  0.43295	  4.81829   4.78502
  86.0  0.250	 154.420  0.43367	  4.81832   4.78499
  88.0  0.250	 154.380  0.43441	  4.81835   4.78496
