   0.0  0.250	 180.000  0.92838	  4.66531   4.47164
   2.0  0.250	   0.009  0.92837	  4.66531   4.47164
   4.0  0.250	   0.019  0.92835	  4.66531   4.47164
   6.0  0.250	   0.028  0.92832	  4.66531   4.47165
   8.0  0.250	   0.037  0.92828	  4.66531   4.47166
  10.0  0.250	   0.046  0.92823	  4.66531   4.47167
  12.0  0.250	   0.055  0.92817	  4.66531   4.47168
  14.0  0.250	   0.064  0.92809	  4.66531   4.47170
  16.0  0.250	   0.073  0.92801	  4.66531   4.47171
  18.0  0.250	   0.082  0.92791	  4.66531   4.47173
  20.0  0.250	   0.091  0.92780	  4.66531   4.47176
  22.0  0.250	   0.100  0.92768	  4.66531   4.47178
  24.0  0.250	   0.108  0.92755	  4.66531   4.47181
  26.0  0.250	   0.117  0.92741	  4.66531   4.47184
  28.0  0.250	   0.125  0.92726	  4.66531   4.47187
  30.0  0.250	   0.133  0.92710	  4.66532   4.47190
  32.0  0.250	   0.141  0.92692	  4.66532   4.47193
  34.0  0.250	   0.149  0.92674	  4.66532   4.47197
  36.0  0.250	   0.157  0.92655	  4.66532   4.47201
  38.0  0.250	   0.164  0.92635	  4.66532   4.47205
  40.0  0.250	   0.172  0.92614	  4.66532   4.47209
  42.0  0.250	   0.179  0.92592	  4.66532   4.47214
  44.0  0.250	   0.186  0.92569	  4.66532   4.47218
  46.0  0.250	   0.192  0.92546	  4.66532   4.47223
  48.0  0.250	   0.199  0.92521	  4.66532   4.47228
  50.0  0.250	   0.205  0.92496	  4.66532   4.47233
  52.0  0.250	   0.211  0.92470	  4.66532   4.47238
  54.0  0.250	   0.216  0.92443	  4.66532   4.47244
  56.0  0.250	   0.222  0.92416	  4.66532   4.47249
  58.0  0.250	   0.227  0.92388	  4.66533   4.47255
  60.0  0.250	   0.232  0.92359	  4.66533   4.47261
  62.0  0.250	   0.236  0.92330	  4.66533   4.47267
  64.0  0.250	   0.241  0.92301	  4.66533   4.47273
  66.0  0.250	   0.245  0.92270	  4.66533   4.47279
  68.0  0.250	   0.248  0.92239	  4.66533   4.47285
  70.0  0.250	   0.252  0.92208	  4.66533   4.47292
  72.0  0.250	   0.255  0.92177	  4.66533   4.47298
  74.0  0.250	   0.258  0.92145	  4.66533   4.47305
  76.0  0.250	   0.260  0.92113	  4.66533   4.47311
  78.0  0.250	   0.262  0.92080	  4.66534   4.47318
  80.0  0.250	   0.264  0.92047	  4.66534   4.47324
  82.0  0.250	   0.266  0.92014	  4.66534   4.47331
  84.0  0.250	   0.267  0.91981	  4.66534   4.47338
  86.0  0.250	   0.268  0.91948	  4.66534   4.47345
  88.0  0.250	   0.268  0.91914	  4.66534   4.47351
  90.0  0.250	   0.269  0.91881	  4.66534   4.47358
  92.0  0.250	   0.269  0.91848	  4.66534   4.47365
  94.0  0.250	   0.268  0.91814	  4.66535   4.47372
  96.0  0.250	   0.267  0.91781	  4.66535   4.47379
  98.0  0.250	   0.266  0.91748	  4.66535   4.47385
 100.0  0.250	   0.265  0.91715	  4.66535   4.47392
