655 0	655 1.01804e-07
645 6.48725e-13	645 1.47772e-07
635 3.33966e-13	635 2.16181e-07
625 6.45805e-13	625 3.16746e-07
615 1.24386e-12	615 4.63346e-07
605 2.3875e-12	605 6.75681e-07
594.117 4.86724e-12	594.117 1.0225e-06
582.353 1.05084e-11	582.353 1.60014e-06
570.589 2.25365e-11	570.589 2.48899e-06
558.823 4.80617e-11	558.823 3.85246e-06
547.059 1.01833e-10	547.059 5.932e-06
535.294 2.14408e-10	535.294 9.09482e-06
523.529 4.48429e-10	523.529 1.38838e-05
511.764 9.30936e-10	511.764 2.11026e-05
500 1.91892e-09	500 3.19309e-05
488.236 3.92585e-09	488.236 4.81093e-05
476.47 7.97177e-09	476.47 7.21331e-05
464.706 1.60601e-08	464.706 0.000107634
452.942 3.20984e-08	452.942 0.000159873
441.176 6.36346e-08	441.176 0.000236286
429.411 1.25115e-07	429.411 0.000347497
417.647 2.43825e-07	417.647 0.0005083
405.883 4.71325e-07	405.883 0.000740001
397.429 8.54862e-07	397.429 0.00110413
392.286 1.10807e-06	392.286 0.00127092
387.142 1.44772e-06	387.142 0.00146882
382 1.89851e-06	382 0.00170121
376.857 2.49218e-06	376.857 0.00197387
371.714 3.27284e-06	371.714 0.0022911
366.572 4.29218e-06	366.572 0.00266064
361.429 5.62191e-06	361.429 0.00308851
356.285 7.3523e-06	356.285 0.00358399
351.143 9.59977e-06	351.143 0.00415383
346 1.25104e-05	346 0.0048142
340.857 1.62798e-05	340.857 0.00556984
335.715 2.11468e-05	335.715 0.00644236
330.572 2.74349e-05	330.572 0.00743715
325.428 3.55229e-05	325.428 0.00857961
320.285 4.5942e-05	320.285 0.00988632
315.143 5.93434e-05	315.143 0.0113781
310 7.65341e-05	310 0.0130777
304.858 9.85819e-05	304.858 0.0150148
299.715 0.00012679	299.715 0.0172133
294.571 0.000162912	294.571 0.0197147
289.428 0.000209003	289.428 0.0225479
284.286 0.00026784	284.286 0.0257547
279.142 0.000342776	279.142 0.0293788
274 0.000438005	274 0.0334757
268.858 0.000559049	268.858 0.0380826
263.714 0.000712581	263.714 0.0432654
258.571 0.000906996	258.571 0.0491094
253.429 0.00115289	253.429 0.0556389
248.285 0.00146328	248.285 0.0629531
243.142 0.00185452	243.142 0.0711473
238 0.00234651	238 0.0802497
232.857 0.00296529	232.857 0.0903876
227.714 0.00374075	227.714 0.10165
222.572 0.00471005	222.572 0.114096
217.408 0.00704414	217.408 0.154279
212.223 0.00863456	212.223 0.1697
207.037 0.0106544	207.037 0.187139
201.851 0.0131836	201.851 0.206683
196.666 0.0163171	196.666 0.228385
191.481 0.0201679	191.481 0.252273
186.296 0.0248733	186.296 0.278457
181.111 0.0305915	181.111 0.306897
175.926 0.0375012	175.926 0.337858
170.74 0.045807	170.74 0.370845
165.555 0.0557573	165.555 0.406287
160.37 0.0676566	160.37 0.443863
155.185 0.0817689	155.185 0.4838
150 0.0984963	150 0.525492
144.814 0.118196	144.814 0.568845
139.629 0.141287	139.629 0.613829
134.444 0.168258	134.444 0.659744
129.259 0.199531	129.259 0.705956
124.074 0.235587	124.074 0.752085
118.889 0.277003	118.889 0.797467
113.704 0.324089	113.704 0.841114
108.519 0.377157	108.519 0.881822
103.334 0.436313	103.334 0.918642
98.1487 0.501763	98.1487 0.950434
92.9629 0.572704	92.9629 0.975704
87.7776 0.648705	87.7776 0.992839
82.5926 0.72772	82.5926 1
70.7283 0.869057	70.7283 0.920669
52.1856 1	52.1856 0.736423
33.6428 0.694972	33.6428 0.470592
22.0288 0.632665	22.0288 0.526701
17.3432 0.573981	17.3432 0.593193
