        ismain_kimberlite	    IM-KIM	   0.0617208   0.0474093   0.0464847
         ismain_spreading	    IM-SPR	  -0.0953494  -0.0543934   -0.125967
        ismain_subduction	    IM-SUB	  -0.0879236  -0.0497493   -0.115665
#             ismain_total	    IM-AVG	  -0.0874872  -0.0502369   -0.113902
             ji_alligator	    JI-ALL	   0.0294723   0.0218788   0.0237053
            ji_castlerock	    JI-CAS	  -0.0711737  -0.0373936  -0.0982839
               ji_nunuvak	    JI-NUN	   0.0585241    0.044394   0.0439042
#                 kbbf-avg	      KBBF	  -0.0642364  -0.0308936  -0.0888979
#           kbbf-enstatite	   KBBF-EN	  -0.0735691  -0.0531096  -0.0689866
#             kbbf-olivine	   KBBF-OL	  -0.0989504  -0.0529083   -0.128361
               kkol.atype	      KK-A	  -0.0586005  -0.0204442  -0.0803845
               kkol.btype	      KK-B	   0.0216484  0.00917655   0.0209411
               kkol.ctype	      KK-C	  -0.0514889  -0.0380735  -0.0642388
               kkol.etype	      KK-E	  -0.0548105  -0.0364037  -0.0602149
#                   kr.avg	     OL+EN	   -0.171679  -0.0661198   -0.291652
#                    kr.en	        EN	    0.113543 0.000715467    0.236183
#                    kr.ol	        OL	   -0.227635  -0.0682613   -0.395836
#                  kr.ravg	   OL+EN_R	   -0.164858  -0.0719777   -0.270826
#                 krt1.avg	  OL+EN_T1	   -0.180791  -0.0615022   -0.320573
#                 krt2.avg	  OL+EN_T2	   -0.169014  -0.0765606   -0.273515
                  scr.avg	       SCR	   -0.173762   -0.065824   -0.302197
#                   scr.ol	    SCR-OL	   -0.230714  -0.0685936    -0.40861
                 scr.ravg	     SCR_R	   -0.160908   -0.072631   -0.269303
#                 ss.2.200	  DE-2-200	   -0.129221  -0.0486856   -0.215953
