          0   298.000     0.000   110.590    75.954    12.038     6.772     5.137     0.128      0.000      0.000	  0.13126   -0.01076    0.28190
          4   389.636     0.056   108.684    74.967    12.016     6.753     5.096     0.168      0.000      0.000	  0.13043   -0.00902    0.28183
          8   481.273     0.158   107.285    74.074    11.979     6.700     5.074     0.205      0.000      0.000	  0.12968   -0.00762    0.28148
         12   565.424     0.260   106.091    73.271    11.947     6.650     5.056     0.240      0.000      0.000	  0.12900   -0.00637    0.28110
         16   627.119     0.365   105.552    72.745    11.907     6.588     5.057     0.261      0.000      0.000	  0.12857   -0.00570    0.28063
         20   688.814     0.479   105.101    72.235    11.864     6.521     5.061     0.281      0.000      0.000	  0.12816   -0.00508    0.28011
         24   750.508     0.593   104.650    71.726    11.823     6.456     5.064     0.303      0.000      0.000	  0.12775   -0.00446    0.27957
         28   812.203     0.724   104.395    71.252    11.772     6.376     5.076     0.320      0.000      0.000	  0.12738   -0.00398    0.27893
         32   873.898     0.857   104.158    70.783    11.721     6.296     5.087     0.338      0.000      0.000	  0.12701   -0.00350    0.27827
         36   935.593     0.991   103.922    70.313    11.671     6.218     5.097     0.356      0.000      0.000	  0.12664   -0.00303    0.27760
         40   997.288     1.124   103.685    69.843    11.624     6.143     5.106     0.375      0.000      0.000	  0.12626   -0.00254    0.27692
         44  1058.983     1.257   103.447    69.373    11.579     6.070     5.114     0.395      0.000      0.000	  0.12588   -0.00205    0.27625
         48  1120.678     1.390   103.208    68.903    11.535     6.000     5.120     0.415      0.000      0.000	  0.12550   -0.00155    0.27556
         52  1182.373     1.523   102.969    68.433    11.494     5.934     5.125     0.436      0.000      0.000	  0.12512   -0.00105    0.27487
         56  1244.068     1.656   102.731    67.963    11.456     5.870     5.128     0.458      0.000      0.000	  0.12473   -0.00054    0.27418
         60  1305.763     1.789   102.492    67.492    11.419     5.810     5.129     0.480      0.000      0.000	  0.12434   -0.00002    0.27348
         64  1367.458     1.922   102.253    67.022    11.385     5.753     5.128     0.503      0.000      0.000	  0.12394    0.00051    0.27277
         68  1429.153     2.055   102.013    66.552    11.353     5.701     5.126     0.527      0.000      0.000	  0.12354    0.00104    0.27206
         72  1468.485     2.188   102.388    66.350    11.293     5.616     5.152     0.525      0.000      0.000	  0.12344    0.00093    0.27132
         76  1485.455     2.321   103.376    66.417    11.203     5.495     5.211     0.497      0.000      0.000	  0.12363    0.00019    0.27058
         80  1502.424     2.454   104.367    66.484    11.116     5.375     5.271     0.470      0.000      0.000	  0.12383   -0.00057    0.26984
         84  1519.394     2.588   105.359    66.552    11.033     5.257     5.333     0.443      0.000      0.000	  0.12402   -0.00132    0.26910
         88  1536.364     2.721   106.348    66.618    10.954     5.140     5.397     0.417      0.000      0.000	  0.12420   -0.00206    0.26838
         92  1553.333     2.854   107.336    66.685    10.877     5.024     5.462     0.392      0.000      0.000	  0.12439   -0.00281    0.26767
         96  1570.303     2.987   108.324    66.752    10.804     4.909     5.528     0.367      0.000      0.000	  0.12457   -0.00355    0.26696
        100  1587.273     3.120   109.313    66.819    10.735     4.796     5.596     0.343      0.000      0.000	  0.12475   -0.00430    0.26626
        104  1604.242     3.253   110.301    66.885    10.668     4.683     5.666     0.319      0.000      0.000	  0.12493   -0.00504    0.26557
        108  1621.212     3.386   111.289    66.952    10.605     4.572     5.737     0.296      0.000      0.000	  0.12511   -0.00578    0.26489
        112  1638.182     3.519   112.278    67.019    10.544     4.462     5.809     0.273      0.000      0.000	  0.12528   -0.00652    0.26422
        116  1655.152     3.652   113.266    67.086    10.487     4.353     5.883     0.251      0.000      0.000	  0.12545   -0.00726    0.26355
        120  1670.000     3.785   114.313    67.178    10.432     4.243     5.962     0.228      0.000      0.000	  0.12565   -0.00806    0.26289
        124  1676.364     3.918   115.593    67.372    10.379     4.123     6.056     0.199      0.000      0.000	  0.12594   -0.00908    0.26225
        128  1683.636     4.051   116.848    67.556    10.331     4.007     6.151     0.173      0.000      0.000	  0.12622   -0.01007    0.26162
        132  1690.909     4.184   118.103    67.739    10.287     3.892     6.247     0.148      0.000      0.000	  0.12650   -0.01106    0.26100
        136  1698.182     4.317   119.358    67.922    10.248     3.780     6.343     0.125      0.000      0.000	  0.12677   -0.01204    0.26038
        140  1705.455     4.450   120.613    68.105    10.213     3.669     6.440     0.103      0.000      0.000	  0.12704   -0.01302    0.25978
        144  1712.727     4.583   121.868    68.289    10.182     3.561     6.538     0.083      0.000      0.000	  0.12730   -0.01400    0.25918
        148  1720.000     4.716   123.123    68.472    10.155     3.454     6.636     0.065      0.000      0.000	  0.12756   -0.01497    0.25860
        152  1727.273     4.849   124.378    68.655    10.132     3.349     6.734     0.049      0.000      0.000	  0.12782   -0.01594    0.25802
        156  1734.545     4.982   125.633    68.839    10.113     3.246     6.832     0.035      0.000      0.000	  0.12807   -0.01690    0.25745
        160  1741.818     5.115   126.888    69.022    10.097     3.145     6.929     0.023      0.000      0.000	  0.12832   -0.01786    0.25688
        164  1749.091     5.248   128.144    69.205    10.085     3.046     7.026     0.013      0.000      0.000	  0.12857   -0.01881    0.25633
        168  1756.364     5.381   129.399    69.388    10.077     2.949     7.121     0.006      0.000      0.000	  0.12881   -0.01976    0.25578
        172  1763.152     5.514   130.667    69.578    10.072     2.854     7.216     0.002      0.000      0.000	  0.12905   -0.02072    0.25524
        176  1769.455     5.647   131.949    69.773    10.071     2.761     7.310     0.000      0.000      0.000	  0.12930   -0.02168    0.25471
        180  1775.758     5.780   133.230    69.967    10.073     2.669     7.402     0.001      0.000      0.000	  0.12954   -0.02264    0.25419
        184  1782.061     5.913   134.512    70.162    10.078     2.580     7.491     0.006      0.000      0.000	  0.12978   -0.02359    0.25367
        188  1788.364     6.046   135.794    70.357    10.085     2.493     7.578     0.015      0.000      0.000	  0.13001   -0.02454    0.25317
        192  1794.667     6.179   137.076    70.552    10.096     2.408     7.661     0.026      0.000      0.000	  0.13025   -0.02549    0.25266
        196  1800.970     6.313   138.357    70.747    10.109     2.326     7.741     0.042      0.000      0.000	  0.13048   -0.02643    0.25217
        200  1807.273     6.446   139.639    70.942    10.124     2.245     7.817     0.062      0.000      0.000	  0.13070   -0.02737    0.25168
        204  1813.576     6.579   140.921    71.137    10.142     2.168     7.889     0.086      0.000      0.000	  0.13092   -0.02830    0.25120
        208  1819.879     6.712   142.203    71.332    10.163     2.092     7.957     0.114      0.000      0.000	  0.13114   -0.02923    0.25072
        212  1826.182     6.845   143.484    71.527    10.185     2.020     8.019     0.146      0.000      0.000	  0.13136   -0.03015    0.25025
        216  1832.485     6.978   144.766    71.722    10.209     1.950     8.077     0.182      0.000      0.000	  0.13158   -0.03107    0.24979
        220  1838.000     7.111   146.073    71.927    10.237     1.883     8.131     0.224      0.000      0.000	  0.13180   -0.03201    0.24934
        224  1843.091     7.248   147.432    72.145    10.268     1.817     8.180     0.271      0.000      0.000	  0.13202   -0.03298    0.24888
        228  1848.909     7.385   148.767    72.353    10.300     1.755     8.223     0.322      0.000      0.000	  0.13224   -0.03392    0.24842
        232  1854.727     7.522   150.102    72.561    10.333     1.696     8.262     0.376      0.000      0.000	  0.13246   -0.03486    0.24797
        236  1860.545     7.658   151.437    72.770    10.369     1.641     8.294     0.434      0.000      0.000	  0.13267   -0.03580    0.24753
        240  1866.364     7.795   152.773    72.978    10.405     1.589     8.322     0.494      0.000      0.000	  0.13288   -0.03673    0.24709
        244  1872.182     7.932   154.108    73.186    10.444     1.541     8.345     0.557      0.000      0.000	  0.13308   -0.03766    0.24666
        248  1878.000     8.069   155.443    73.394    10.483     1.498     8.364     0.622      0.000      0.000	  0.13329   -0.03858    0.24623
        252  1883.818     8.205   156.779    73.603    10.524     1.458     8.378     0.688      0.000      0.000	  0.13349   -0.03950    0.24581
        256  1889.636     8.342   158.114    73.811    10.566     1.423     8.388     0.755      0.000      0.000	  0.13368   -0.04041    0.24540
        260  1895.455     8.479   159.449    74.019    10.610     1.392     8.395     0.822      0.000      0.000	  0.13388   -0.04132    0.24499
        264  1901.273     8.616   160.784    74.227    10.654     1.366     8.399     0.888      0.000      0.000	  0.13407   -0.04222    0.24458
        268  1907.091     8.753   162.130    74.438    10.699     1.345     8.400     0.954      0.000      0.000	  0.13427   -0.04313    0.24418
        272  1912.600     8.891   163.488    74.652    10.747     1.329     8.398     1.020      0.000      0.000	  0.13446   -0.04404    0.24378
        276  1917.800     9.029   164.855    74.871    10.795     1.318     8.394     1.083      0.000      0.000	  0.13465   -0.04496    0.24339
        280  1923.000     9.167   166.222    75.089    10.844     1.312     8.388     1.145      0.000      0.000	  0.13484   -0.04586    0.24301
        284  1928.200     9.305   167.588    75.307    10.894     1.310     8.380     1.204      0.000      0.000	  0.13503   -0.04677    0.24263
        288  1933.400     9.443   168.955    75.526    10.945     1.313     8.371     1.261      0.000      0.000	  0.13522   -0.04767    0.24225
        292  1938.600     9.582   170.321    75.744    10.996     1.320     8.361     1.315      0.000      0.000	  0.13540   -0.04856    0.24188
        296  1943.800     9.720   171.688    75.962    11.048     1.332     8.350     1.367      0.000      0.000	  0.13558   -0.04945    0.24151
        300  1949.000     9.858   173.054    76.181    11.100     1.347     8.337     1.416      0.000      0.000	  0.13576   -0.05034    0.24115
        304  1954.200     9.996   174.421    76.399    11.153     1.365     8.325     1.463      0.000      0.000	  0.13594   -0.05122    0.24079
        308  1959.400    10.134   175.788    76.617    11.206     1.387     8.312     1.507      0.000      0.000	  0.13611   -0.05209    0.24044
        312  1964.600    10.272   177.161    76.837    11.260     1.412     8.298     1.550      0.000      0.000	  0.13629   -0.05297    0.24008
        316  1969.800    10.412   178.542    77.058    11.314     1.440     8.284     1.590      0.000      0.000	  0.13646   -0.05385    0.23974
        320  1975.000    10.551   179.923    77.279    11.369     1.470     8.270     1.629      0.000      0.000	  0.13663   -0.05472    0.23939
        324  1979.880    10.690   181.312    77.504    11.424     1.503     8.256     1.665      0.000      0.000	  0.13680   -0.05560    0.23905
        328  1984.760    10.830   182.701    77.729    11.480     1.538     8.241     1.700      0.000      0.000	  0.13697   -0.05646    0.23872
        332  1989.640    10.969   184.091    77.953    11.536     1.575     8.227     1.734      0.000      0.000	  0.13714   -0.05733    0.23839
        336  1994.520    11.108   185.480    78.178    11.591     1.613     8.213     1.766      0.000      0.000	  0.13730   -0.05819    0.23806
        340  1999.400    11.248   186.870    78.403    11.647     1.652     8.199     1.796      0.000      0.000	  0.13747   -0.05905    0.23774
        344  2004.280    11.387   188.259    78.628    11.703     1.693     8.185     1.826      0.000      0.000	  0.13763   -0.05990    0.23742
        348  2009.160    11.526   189.649    78.853    11.760     1.734     8.171     1.854      0.000      0.000	  0.13779   -0.06075    0.23710
        352  2014.040    11.666   191.038    79.077    11.816     1.776     8.158     1.882      0.000      0.000	  0.13794   -0.06159    0.23679
        356  2018.920    11.805   192.431    79.303    11.872     1.819     8.144     1.908      0.000      0.000	  0.13810   -0.06243    0.23648
        360  2023.800    11.946   193.834    79.530    11.928     1.863     8.131     1.934      0.000      0.000	  0.13825   -0.06327    0.23618
        364  2028.680    12.087   195.238    79.758    11.985     1.908     8.118     1.959      0.000      0.000	  0.13841   -0.06411    0.23587
        368  2033.560    12.227   196.641    79.985    12.042     1.952     8.106     1.984      0.000      0.000	  0.13856   -0.06495    0.23557
        372  2037.980    12.368   198.057    80.218    12.099     1.998     8.093     2.007      0.000      0.000	  0.13871   -0.06579    0.23528
        376  2041.939    12.508   199.486    80.456    12.156     2.045     8.081     2.030      0.000      0.000	  0.13887   -0.06663    0.23499
        380  2045.899    12.649   200.914    80.695    12.214     2.091     8.070     2.053      0.000      0.000	  0.13902   -0.06746    0.23470
        384  2049.859    12.790   202.343    80.933    12.271     2.138     8.058     2.075      0.000      0.000	  0.13917   -0.06829    0.23442
        388  2053.818    12.930   203.772    81.172    12.328     2.185     8.047     2.097      0.000      0.000	  0.13932   -0.06912    0.23414
        392  2057.778    13.071   205.200    81.410    12.385     2.231     8.036     2.118      0.000      0.000	  0.13946   -0.06995    0.23386
        396  2061.737    13.211   206.629    81.649    12.442     2.278     8.026     2.138      0.000      0.000	  0.13961   -0.07076    0.23359
        400  2065.697    13.352   208.061    81.888    12.499     2.324     8.016     2.159      0.000      0.000	  0.13975   -0.07158    0.23332
        404  2069.657    13.502   209.594    82.146    12.559     2.374     8.005     2.180      0.000      0.000	  0.13991   -0.07245    0.23303
        408  2073.616    13.652   211.123    82.403    12.619     2.424     7.995     2.201      0.000      0.000	  0.14006   -0.07331    0.23275
