        ismain_kimberlite	    IM-KIM	   0.0627569   0.0469587   0.0472651
         ismain_spreading	    IM-SPR	  -0.0916868  -0.0561107   -0.121129
        ismain_subduction	    IM-SUB	  -0.0848105  -0.0511763    -0.11157
#             ismain_total	    IM-AVG	  -0.0844305  -0.0516577   -0.109922
             ji_alligator	    JI-ALL	   0.0297185   0.0217699   0.0239033
            ji_castlerock	    JI-CAS	  -0.0690367  -0.0382838  -0.0953328
               ji_nunuvak	    JI-NUN	    0.059452   0.0439999   0.0446003
#                 kbbf-avg	      KBBF	  -0.0624876  -0.0315315  -0.0864777
#           kbbf-enstatite	   KBBF-EN	  -0.0718939  -0.0539685  -0.0674158
#             kbbf-olivine	   KBBF-OL	  -0.0950689  -0.0545231   -0.123325
               kkol.atype	      KK-A	  -0.0571519  -0.0207814  -0.0783975
               kkol.btype	      KK-B	   0.0218016  0.00915133   0.0210893
               kkol.ctype	      KK-C	  -0.0504515  -0.0387772  -0.0629444
               kkol.etype	      KK-E	  -0.0537509  -0.0369375  -0.0590508
#                   kr.avg	     OL+EN	   -0.157617   -0.071017   -0.267762
#                    kr.en	        EN	    0.122162 0.000683839    0.254111
#                    kr.ol	        OL	   -0.203113  -0.0749848   -0.353195
#                  kr.ravg	   OL+EN_R	   -0.152194  -0.0770057   -0.250022
#                 krt1.avg	  OL+EN_T1	   -0.164724  -0.0667802   -0.292083
#                 krt2.avg	  OL+EN_T2	   -0.155887  -0.0823158   -0.252273
                  scr.avg	   SCR	   -0.159098  -0.0708957   -0.276694
#                   scr.ol	    SCR-OL	   -0.205199  -0.0756458   -0.363422
                 scr.ravg	  SCR_R	   -0.148639  -0.0777385   -0.248768
#                 ss.2.200	  DE-2-200	   -0.121197  -0.0514302   -0.202545
